SL Target,SEQID,Module,Primary Target,Exposure (s),RA,DEC,PA,,In old sheet?,Notes
GX 5-1, 90701331002, A, GRO_J1750m27, 29886.3108, 267.2525, -26.6752, 335.8924
GR, 90701331002, A, GRO_J1750m27, 29886.3108, 267.2525, -26.6752, 335.8924
Crab, 10702305002, A, Crab_sl_PA330, 23410.3679, 81.8356, 21.1272, 330.7766
GX 17+2, 90701306002, A, Swift_182251m135218, 45107.2367, 275.7079, -13.883, 157.8715
1A 0535+262, 90601036001, A, 1A_0535p262_SLPA140, 2036.1913, 86.2426, 27.5165, 138.9395
1A 0535+262, 90601035001, A, 1A_0535p262_SLPA149, 7923.3379, 86.514, 27.2024, 149.0432
1A 0535+262, 90601034002, A, 1A_0535p262_SLPA149, 2981.6268, 86.52, 27.2105, 148.5167
1A 0535+262, 90601034001, A, 1A_0535p262_SLPA149, 2979.2497, 86.5272, 27.2135, 148.5284
Crab, 10602005004, A, Crab_sl_PA150, 24338.879, 85.4494, 22.9136, 149.0495
Crab, 10602005002, A, Crab_sl_PA150, 14248.1523, 85.4469, 22.913, 149.0202
GX 5-1, 90701331002, B, GRO_J1750m27, 29886.3108, 267.2525, -26.6752, 335.8924
GR, 90701331002, B, GRO_J1750m27, 29886.3108, 267.2525, -26.6752, 335.8924
Crab, 10702305002, B, Crab_sl_PA330, 23410.3679, 81.8356, 21.1272, 330.7766
GX 17+2, 90701306002, B, Swift_182251m135218, 45107.2367, 275.7079, -13.883, 157.8715
1A 0535+262, 90601036001, B, 1A_0535p262_SLPA140, 2036.1913, 86.2426, 27.5165, 138.9395
1A 0535+262, 90601035001, B, 1A_0535p262_SLPA149, 7923.3379, 86.514, 27.2024, 149.0432
1A 0535+262, 90601034002, B, 1A_0535p262_SLPA149, 2981.6268, 86.52, 27.2105, 148.5167
1A 0535+262, 90601034001, B, 1A_0535p262_SLPA149, 2979.2497, 86.5272, 27.2135, 148.5284
Crab, 10602005004, B, Crab_sl_PA150, 24338.879, 85.4494, 22.9136, 149.0495
Crab, 10602005002, B, Crab_sl_PA150, 14248.1523, 85.4469, 22.913, 149.0202
Unkn, 80402308012, A, Swift_J1818d0m1607, 39340.0123, 274.4788, -16.1678, 335.3296
GX 17+2, 80402308012, B, Swift_J1818d0m1607, 39340.0123, 274.4788, -16.1678, 335.3296
Cen X-3, 30601029002, A, PSR_J1101m6101, 135990.0078, 165.5026, -61.0077, 149.7044
Cen X-3, 30601029002, B, PSR_J1101m6101, 135990.0078, 165.5026, -61.0077, 149.7044
GX 339-4, 80601002004, A, GX_339m4_SLPA193, 3193.6407, 258.5007, -49.2973, 192.8875
GX 339-4, 80601002004, B, GX_339m4_SLPA193, 3193.6407, 258.5007, -49.2973, 192.8875
GX 339-4, 80601002002, A, GX_339m4_SLPA193, 2498.7022, 258.5104, -49.3027, 192.8553
GX 339-4, 80601002002, B, GX_339m4_SLPA193, 2498.7022, 258.5104, -49.3027, 192.8553
GX 3+1, 40660007002, A, CXO_J174722d8m280915, 53710.362, 266.8837, -28.0875, 159.6634
Unkn, 40660007002, A, CXO_J174722d8m280915, 53710.362, 266.8837, -28.0875, 159.6634
Unkn, 40660007002, B, CXO_J174722d8m280915, 53710.362, 266.8837, -28.0875, 159.6634
Complex, 40660007002, B, CXO_J174722d8m280915, 53710.362, 266.8837, -28.0875, 159.6634
GX 3+1, 90701310002, A, Swift_J1749d4m2807, 49394.315, 267.4313, -28.0876, 154.0932
Complex, 90701310002, B, Swift_J1749d4m2807, 49394.315, 267.4313, -28.0876, 154.0932
GX 340+0, 90601324002, A, 1SXPS_J165423d4m433746, 25654.8443, 253.5673, -43.6651, 325.5479
4U 1705-44, 90601324002, A, 1SXPS_J165423d4m433746, 25654.8443, 253.5673, -43.6651, 325.5479
